N,strategy,n_depots,v_repair,cadence,expected_mttr,median_mttr,max_mttr,min_mttr,p_72h,t_wait
505,uniform,15,300.0,1,95.48371913580247,95.46342592592592,99.4148148148148,93.99722222222222,0.3731879166666667,92.59259259259258
505,uniform,15,300.0,2,188.07631172839504,188.0560185185185,192.00740740740738,186.5898148148148,0.18659395833333334,185.18518518518516
505,uniform,15,300.0,5,465.85408950617284,465.8337962962962,469.7851851851851,464.36759259259253,0.07463758333333333,462.96296296296293
505,uniform,15,300.0,10,928.8170524691357,928.7967592592593,932.7481481481481,927.3305555555555,0.03731879166666666,925.9259259259259
505,uniform,15,600.0,1,94.73815586419752,94.72800925925925,96.7037037037037,93.9949074074074,0.3772139583333333,92.59259259259258
505,uniform,15,600.0,2,187.3307484567901,187.32060185185185,189.29629629629628,186.58749999999998,0.18860697916666666,185.18518518518516
505,uniform,15,600.0,5,465.1085262345679,465.09837962962956,467.074074074074,464.36527777777775,0.07544279166666666,462.96296296296293
505,uniform,15,600.0,10,928.0714891975307,928.0613425925925,930.037037037037,927.3282407407406,0.03772139583333333,925.9259259259259
505,uniform,20,150.0,1,96.24734504913076,96.22698412698412,102.08130511463844,93.9926807760141,0.3690643367346939,92.59259259259258
505,uniform,20,150.0,2,188.83993764172334,188.8195767195767,194.67389770723102,186.5852733686067,0.18453216836734695,185.18518518518516
505,uniform,20,150.0,5,466.61771541950105,466.59735449735444,472.45167548500876,464.3630511463844,0.07381286734693877,462.96296296296293
505,uniform,20,150.0,10,929.580678382464,929.5603174603174,935.4146384479717,927.3260141093474,0.03690643367346939,925.9259259259259
505,uniform,20,300.0,1,95.11996882086169,95.10978835978835,98.03694885361551,93.99263668430335,0.37515216836734694,92.59259259259258
505,uniform,20,300.0,2,187.71256141345427,187.70238095238093,190.6295414462081,186.58522927689592,0.18757608418367347,185.18518518518516
505,uniform,20,300.0,5,465.490339191232,465.4801587301587,468.40731922398584,464.3630070546737,0.07503043367346938,462.96296296296293
505,uniform,20,300.0,10,928.4533021541948,928.4431216931216,931.3702821869488,927.3259700176366,0.03751521683673469,925.9259259259259
505,uniform,20,600.0,1,94.55628070672714,94.55119047619047,96.01477072310405,93.99261463844796,0.3781960841836735,92.59259259259258
505,uniform,20,600.0,2,187.14887329931972,187.14378306878305,188.60736331569663,186.58520723104056,0.18909804209183675,185.18518518518516
505,uniform,20,600.0,5,464.9266510770975,464.9215608465608,466.3851410934744,464.36298500881827,0.07563921683673469,462.96296296296293
505,uniform,20,600.0,10,927.8896140400605,927.8845238095237,929.3481040564374,927.3259479717813,0.037819608418367345,925.9259259259259
505,uniform,30,150.0,1,95.50733249890956,95.48270609318996,99.23667861409797,94.00454002389485,0.3730604045058884,92.59259259259258
505,uniform,30,150.0,2,188.09992509150214,188.07529868578254,191.82927120669055,186.59713261648744,0.1865302022529442,185.18518518518516
505,uniform,30,150.0,5,465.87770286927986,465.8530764635603,469.6070489844683,464.37491039426516,0.07461208090117766,462.96296296296293
505,uniform,30,150.0,10,928.8406658322428,928.8160394265233,932.5700119474312,927.3378733572281,0.03730604045058883,925.9259259259259
