n_depots,launch_cost,discount_rate,payload_revenue,npv_modular_depot,npv_monolithic,delta_npv,modular_wins
15,1500.0,0.07,300.0,63610521.352473855,120422863.4462729,-56812342.09379904,False
15,1500.0,0.07,500.0,1725034057.4228714,1648923168.1946225,76110889.22824883,True
15,1500.0,0.1,200.0,-961739974.8932328,-834925859.2808993,-126814115.61233354,False
15,1500.0,0.1,300.0,-397753156.1454516,-327760482.5282907,-69992673.61716092,False
15,1500.0,0.1,500.0,730220481.3501108,686570270.9769268,43650210.373183966,True
15,2000.0,0.05,200.0,-1375911428.8932414,-1229172011.690406,-146739417.20283532,False
15,2000.0,0.05,300.0,-272265807.92172915,-199496115.72886732,-72769692.19286183,False
15,2000.0,0.05,500.0,1935025434.021296,1859855676.1942089,75169757.82708716,True
15,2000.0,0.07,200.0,-1520586904.6416676,-1367936486.8199856,-152650417.82168198,False
15,2000.0,0.07,300.0,-689875136.6064694,-603686334.4458112,-86188802.16065824,False
15,2000.0,0.07,500.0,971548399.4639282,924813970.3025384,46734429.16138983,True
15,2000.0,0.1,200.0,-1609743892.85536,-1451344730.2096057,-158399162.64575434,False
15,2000.0,0.1,300.0,-1045757074.107579,-944179353.4569963,-101577720.65058267,False
15,2000.0,0.1,500.0,82216563.3879829,70151400.04822096,12065163.339761943,True
20,500.0,0.05,200.0,1074687620.3434906,1237220841.019706,-162533220.6762154,False
20,500.0,0.05,300.0,2178333241.315004,2266896736.981244,-88563495.66624022,False
20,500.0,0.05,500.0,4385624483.258027,4326248528.904321,59375954.35370636,True
20,500.0,0.07,200.0,658381644.2052609,804391106.8562657,-146009462.6510048,False
20,500.0,0.07,300.0,1489093412.2404594,1568641259.2304397,-79547846.98998022,False
